source_id,relation,target_id,source_module
urn:entity:darkweb:market:hydra,PROVIDES,urn:entity:darkweb:service:escrow,darkweb
urn:entity:darkweb:service:escrow,RELATED_TO,urn:entity:payment:bitcoin,darkweb
urn:entity:darkweb:actor:darkoverlord,AFFILIATED_WITH,urn:entity:darkweb:market:hydra,darkweb
urn:entity:browsing:os:tails,USES,urn:entity:technology:tor,browsing_privacy
urn:entity:browsing:os:whonix,USES,urn:entity:technology:tor,browsing_privacy
urn:entity:browsing:os:whonix,REQUIRES,urn:entity:browsing:technology:whonix_gateway,browsing_privacy
urn:entity:browsing:os:whonix,REQUIRES,urn:entity:browsing:technology:whonix_workstation,browsing_privacy
urn:entity:browsing:os:whonix,AFFILIATED_WITH,urn:entity:browsing:os:kicksecure,browsing_privacy
urn:entity:browsing:os:kicksecure,PROVIDES,urn:entity:browsing:os:whonix,browsing_privacy
urn:entity:browsing:os:qubes_whonix,USES,urn:entity:browsing:technology:xen_hypervisor,browsing_privacy
urn:entity:browsing:os:qubes_whonix,USES,urn:entity:browsing:technology:whonix_gateway,browsing_privacy
urn:entity:browsing:os:qubes_whonix,USES,urn:entity:browsing:technology:disposable_vm,browsing_privacy
urn:entity:browsing:os:tails,MITIGATES,urn:entity:adversary:opportunistic,browsing_privacy
urn:entity:browsing:os:qubes_whonix,MITIGATES,urn:entity:adversary:targeted_criminals_stalkers,browsing_privacy
urn:entity:browsing:technology:xen_hypervisor,PROVIDES,urn:entity:browsing:os:qubes_whonix,browsing_privacy
urn:entity:browsing:technology:whonix_gateway,BLOCKS,urn:entity:browsing:os:whonix,browsing_privacy
urn:entity:browsing:vulnerability:cve_2025_2783,TARGETS,urn:entity:browsing:technology:browser_sandbox,browsing_privacy
urn:entity:browsing:vulnerability:cve_2025_2857,TARGETS,urn:entity:browsing:technology:browser_sandbox,browsing_privacy
urn:entity:browsing:vulnerability:cve_2025_9074,TARGETS,urn:entity:browsing:technology:docker,browsing_privacy
urn:entity:browsing:technology:browser_sandbox,MITIGATES,urn:entity:browsing:vulnerability:cve_2025_2783,browsing_privacy
urn:entity:browsing:technology:flatpak,USES,urn:entity:browsing:technology:browser_sandbox,browsing_privacy
urn:entity:browsing:os:qubes_whonix,MITIGATES,urn:entity:browsing:vulnerability:cve_2025_2783,browsing_privacy
urn:entity:browsing:technology:podman,RELATED_TO,urn:entity:browsing:technology:docker,browsing_privacy
urn:entity:browsing:architecture:vpn_then_tor,USES,urn:entity:technology:tor,browsing_privacy
urn:entity:browsing:architecture:tor_then_vpn,USES,urn:entity:technology:tor,browsing_privacy
urn:entity:browsing:architecture:vpn_then_tor,RELATED_TO,urn:entity:browsing:adversary:as_level_observer,browsing_privacy
urn:entity:browsing:architecture:vpn_then_tor,CONFLICTS_WITH,urn:entity:browsing:architecture:tor_then_vpn,browsing_privacy
urn:entity:browsing:architecture:commercial_tor_vpn,RELATED_TO,urn:entity:browsing:architecture:vpn_then_tor,browsing_privacy
urn:entity:browsing:adversary:as_level_observer,TARGETS,urn:entity:technology:tor,browsing_privacy
urn:entity:browsing:technology:vpn_kill_switch,MITIGATES,urn:entity:browsing:architecture:vpn_then_tor,browsing_privacy
urn:entity:browsing:defense:wtf_pad,MITIGATES,urn:entity:browsing:attack:deep_fingerprinting,browsing_privacy
urn:entity:browsing:defense:walkie_talkie,MITIGATES,urn:entity:browsing:attack:deep_fingerprinting,browsing_privacy
urn:entity:browsing:defense:tamaraw,MITIGATES,urn:entity:browsing:attack:deep_fingerprinting,browsing_privacy
urn:entity:browsing:defense:detorrent,MITIGATES,urn:entity:browsing:attack:deep_fingerprinting,browsing_privacy
urn:entity:browsing:defense:detorrent,MITIGATES,urn:entity:browsing:attack:tik_tok,browsing_privacy
urn:entity:browsing:defense:detorrent,MITIGATES,urn:entity:browsing:attack:deepcoffea,browsing_privacy
urn:entity:browsing:attack:deep_fingerprinting,EXPLOITS,urn:entity:technology:tor,browsing_privacy
urn:entity:browsing:attack:tik_tok,EXPLOITS,urn:entity:technology:tor,browsing_privacy
urn:entity:browsing:attack:deepcoffea,EXPLOITS,urn:entity:technology:tor,browsing_privacy
urn:entity:browsing:defense:tor_connection_padding,RELATED_TO,urn:entity:technology:tor,browsing_privacy
urn:entity:browsing:defense:tor_circuit_padding,RELATED_TO,urn:entity:technology:tor,browsing_privacy
urn:entity:browsing:defense:front,USES,urn:entity:technology:tor,browsing_privacy
urn:entity:browsing:tool:wfdefproxy,USES,urn:entity:technology:tor,browsing_privacy
